min_cluster_size	min_samples	method	epsilon	n_clusters	n_outliers	outlier_fraction	size_min	size_median	size_max	intra_sim	nearest_sim	seconds
5	1	eom	0.0	133	2729	0.5450369482724187	5	7	833	0.848108822216102	0.885334774821613	0.42751455099823943
5	1	leaf	0.0	176	3520	0.7030157779109247	5	7	41	0.8367011964421076	0.8995566078654622	0.4342599909996352
5	5	eom	0.0	31	3379	0.6748552027161974	5	9	818	0.848065416200932	0.841642958568582	0.3803689989999839
5	5	leaf	0.0	49	4433	0.8853604953065708	5	7	57	0.8554984841570947	0.8751518625939396	0.37109085699921707
10	1	eom	0.0	35	2772	0.5536249251048532	10	19	833	0.8238232503553105	0.8970688002625731	0.3555042770003638
10	1	leaf	0.0	53	3886	0.7761134411823447	10	16	65	0.8209713833196108	0.916977370574838	0.3620155379994685
10	5	eom	0.0	9	2990	0.597163970441382	10	19	867	0.8160172473369447	0.838179472236063	0.35062638000090374
10	5	leaf	0.0	22	4225	0.8438186538845616	10	19	237	0.8231792945639314	0.8920597487618722	0.35138378199917497
20	1	eom	0.0	17	2800	0.5592170960655083	20	33	833	0.818602142333923	0.8841523644718627	0.34973101600007794
20	1	leaf	0.0	27	3868	0.7725184741362093	20	31	190	0.8225272347605949	0.9175192808939004	0.35097418399891467
20	5	eom	0.0	4	2835	0.5662073097663272	20	639	874	0.8045871290422281	0.807236956808082	0.36120396699880075
20	5	leaf	0.0	11	4040	0.8068703814659477	20	46	411	0.7975010251538409	0.8731428092365323	0.3313017989985383
