min_cluster_size	min_samples	method	epsilon	n_clusters	n_outliers	outlier_fraction	size_min	size_median	size_max	intra_sim	nearest_sim	seconds
5	1	eom	0.0	114	2965	0.5921709606550829	5	8	847	0.8621410380799511	0.8707848901546034	0.4440009520003514
5	1	leaf	0.0	144	3717	0.7423606950269622	5	7	53	0.8553171671706796	0.8844651304952422	0.4097880860008445
5	5	eom	0.0	22	3453	0.6896345116836429	5	10	831	0.8585474793090992	0.8384849636403723	0.33251186800043797
5	5	leaf	0.0	42	4472	0.8931495905731975	5	8	52	0.8685586553588517	0.8664305183206693	0.390264906000084
10	1	eom	0.0	8	1543	0.30816856401038545	10	29	2476	0.7554772026437856	0.8632896109990291	0.4328683990006539
10	1	leaf	0.0	46	3941	0.787098062712203	10	19	77	0.8447312411383036	0.9011968987190978	0.384304692999649
10	5	eom	0.0	4	2300	0.45935690033952464	16	442	1806	0.7689282709735362	0.8086937458204597	0.381710910000038
10	5	leaf	0.0	20	4385	0.8757739165168764	10	22	91	0.8373348557865803	0.8728995551485411	0.35058081500028493
20	1	eom	0.0	6	1563	0.3121629718394248	23	37	2476	0.7554762656412622	0.8585648423727085	0.41682900700106984
20	1	leaf	0.0	24	3836	0.7661274216097463	20	33	153	0.8242210259543419	0.8984653537623292	0.34263935499984655
20	5	eom	0.0	3	2316	0.46255242660275614	22	863	1806	0.7687865591840944	0.7944421803698732	0.3939781760000187
20	5	leaf	0.0	13	4368	0.8723786698621929	22	40	92	0.8221657220837844	0.8713115773476444	0.35509973099942727
