min_cluster_size	min_samples	method	epsilon	n_clusters	n_outliers	outlier_fraction	size_min	size_median	size_max	intra_sim	nearest_sim	seconds
5	1	eom	0.0	105	3051	0.609346914319952	5	7	830	0.8677163413996035	0.8567654994048283	0.40277495800000906
5	1	leaf	0.0	128	3853	0.7695226682644298	5	7	28	0.8549396299394153	0.8721362710895404	0.38854170499871543
5	5	eom	0.0	23	3657	0.7303774715398442	5	12	829	0.8830171141639123	0.8061465371903513	0.36482248900028935
5	5	leaf	0.0	36	4520	0.9027361693628919	5	10	41	0.8664295696676285	0.8580477476730811	0.3610228699999425
10	1	eom	0.0	37	3352	0.6694627521469942	10	16	830	0.8657403502791586	0.8609266393498853	0.36236422000001767
10	1	leaf	0.0	46	4109	0.8206510884761334	10	16	58	0.8446065733801541	0.8815956417850425	0.3570241569996142
10	5	eom	0.0	11	3584	0.7157978829638506	11	26	829	0.8700001772025691	0.7850473543077101	0.36676972699933685
10	5	leaf	0.0	19	4521	0.9029358897543439	10	20	93	0.851132388151968	0.8464097072108604	0.34585660800075857
20	1	eom	0.0	11	3464	0.6918314359896145	20	53	830	0.8615467680294406	0.8167227677550883	0.36888387500039244
20	1	leaf	0.0	14	4277	0.8542041142400639	20	36	125	0.8256819210976866	0.8590453002562513	0.3557105309992039
20	5	eom	0.0	8	3558	0.7106051527860995	22	64	829	0.8667951790875792	0.7592502505448673	0.3742572770006518
20	5	leaf	0.0	12	4596	0.9179149191132414	20	25	93	0.8410806388368085	0.8229453567195208	0.4001330680002866
