min_cluster_size	min_samples	method	epsilon	n_clusters	n_outliers	outlier_fraction	size_min	size_median	size_max	intra_sim	nearest_sim	seconds
5	1	eom	0.0	2	5	0.00023388530264758164	6	10686	21367	0.6681446752105143	0.567208343882974	13.773155470000347
5	1	leaf	0.0	536	16932	0.7920291888857705	5	7	40	0.8795119358277736	0.8466510201600554	7.966979934999472
20	1	eom	0.0	3	1095	0.05122088127982038	20	29	20234	0.6749922946292372	0.771152928504471	13.064861057999224
20	1	leaf	0.0	50	19367	0.9059313312751427	20	30	149	0.8397232074804073	0.841420734205938	9.066951115000847
